Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250010605000011,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),1,0,330,1144,3.47,2.36,586.74,544220.73,639.02,559355.1,342.78,299357.09,541.17,365365.03,NA
250010605000012,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),5,0,49,177,3.61,2.58,408.94,149960.64,556.61,121115.79,246.9,114335.59,444.99,117963.68,NA
250010605000013,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),5,0,38,165,4.34,7.1,266.84,101987.22,440.87,91313.12,164.13,66234.44,323.05,79234.27,NA
250010605000014,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25007,Serra do Teixeira,00,Municípios não pertencentes a estrutura de RM,2500106,ÁGUA BRANCA,250010605,ÁGUA BRANCA,25001060500,ÁGUA BRANCA,2500106e3,ÁGUA BRANCA (todos os setores),8,0,138,625,4.53,6.16,304.03,80005.47,419.56,61752.83,190.46,69113.66,380.18,65820.03,NA
250020505000001,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),1,0,313,1012,3.23,2.27,1264.2,70759998.43,1470.98,82072002.2,761.82,31668908.94,1122.41,46278915.54,NA
250020505000002,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),1,0,236,693,2.94,1.83,574.1,304391.28,630.17,298759.66,379.46,277716.16,524.63,307867.36,NA
250020505000003,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,101,344,3.41,1.74,437.18,404772.11,501.76,432477.49,259.7,193712.16,382.85,238657.49,NA
250020505000004,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,85,289,3.4,3.08,463.76,226595.37,498.99,226224.81,288.04,140598.32,415.68,149900.12,NA
250020505000005,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,35,129,3.69,5.05,189.09,85662.67,389.29,99221.97,153.1,58819.4,284.33,72197.56,NA
250020505000006,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,152,617,4.06,3.63,256.82,107725.94,386.5,112044.57,177.43,68724.23,322.24,78185.02,NA
250020505000007,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,125,422,3.38,2.48,297.7,85139.7,379.71,77373.79,206.32,68721.58,345.47,66990.67,NA
250020505000008,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,59,194,3.29,2.38,317.14,111337.53,467.78,93306.74,240.04,81907.41,389.5,74623.24,NA
250020505000009,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,229,810,3.54,3.94,361.55,396420.81,511.07,484496.31,240.89,214512.21,437.75,303878.17,NA
250020505000010,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),8,0,10,24,2.4,2.71,628,377706.67,697.78,370144.44,324.18,253497.49,509.43,307866.73,NA
250020505000011,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25005,Piancó,00,Municípios não pertencentes a estrutura de RM,2500205,AGUIAR,250020505,AGUIAR,25002050500,AGUIAR,2500205e3,AGUIAR (todos os setores),1,0,314,994,3.17,2.01,542.25,319356.7,593.26,319135.95,335.87,200903.77,472.3,218105.21,NA
250030405000001,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,236,713,3.02,2.11,1026.28,1645182.39,1126.53,1693173.02,576.49,878513.96,931.92,1089450.68,NA
250030405000002,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,345,1070,3.1,2.74,564.46,311049.8,593.71,309798.12,336.09,216321.78,514.67,239390.75,NA
250030405000003,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,294,925,3.15,2.19,1018.19,1187430.48,1076.79,1192690.21,582.32,742359.64,887.5,860783.83,NA
250030405000004,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,134,458,3.42,3.07,671.01,605451.71,731.02,615813.66,391.84,335029.81,621.06,388868.1,NA
250030405000005,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,178,587,3.3,2.45,318.26,62848.41,464.34,23540.54,204.06,62752.06,419.45,38538.89,NA
250030405000006,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,155,518,3.34,2.67,528.56,172798.07,593.67,155302.34,310.27,134941.31,512.33,119242.98,NA
250030405000007,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,202,678,3.36,2.16,1066.71,1426211.09,1128.14,1439110.84,591.81,819390.8,935.7,974165.83,NA
250030405000008,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,241,857,3.56,2.41,860,2785747.88,929.42,2946811.33,424.62,1084875.57,739.37,1657667.22,NA
250030405000009,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,317,1091,3.44,2.65,862.93,1180262.49,1060.26,1241175.28,438,608324.45,905.65,834794.01,NA
250030405000010,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,360,1157,3.21,3.21,549.34,356134.82,581.65,358294.72,339.3,218364.14,482.85,241468.65,NA
250030405000011,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,134,438,3.27,4.17,245.85,54571.57,322.98,46703.56,189.63,51665.34,316.35,46077.27,NA
250030405000012,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,187,640,3.42,2.22,417.1,177933.5,472.72,175352.96,240.03,117947.61,426.35,130107.68,NA
250030405000013,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,162,584,3.6,3.13,412,167171.54,521.44,154411.98,225.68,110965.16,441.32,121870.65,NA
250030405000014,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,71,276,3.89,3.59,228.86,53279.24,290.16,49699.23,144.77,42383.44,292.35,42445.45,NA
250030405000015,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,327,1152,3.52,3.94,462.65,348888.83,514.59,361369.57,274.48,182507.46,427.99,218938.53,NA
250030405000016,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,289,1200,4.15,4.62,291.62,110278.51,360.17,111516.76,191.97,77727.81,352.13,86195.02,NA
250030405000017,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,32,144,4.5,5.03,358.06,41924,395.1,31258.17,143.83,39608.15,292.29,37057.98,NA
250030405000018,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),5,0,374,1241,3.32,2.93,398.7,135679.76,465.98,127198.08,239.39,104145.52,411.91,108141.87,NA
250030405000019,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),5,0,145,545,3.76,3.88,341.24,54099.68,395.84,41038.83,190.1,53927.06,355.33,42038.45,NA
250030405000020,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,102,402,3.94,4.41,248.97,71448.07,409.6,51428.74,151.7,53134.73,330.8,56643.29,NA
250030405000021,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,91,349,3.84,5.18,283.79,73252.68,437.71,45133.45,152.61,59435.14,416.84,52133.63,NA
250030405000022,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,61,245,4.02,3.75,255.33,73504.36,420.95,50854.44,127.77,49248.46,362.94,54618.35,NA
250030405000023,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,64,260,4.06,3.74,216.3,40093.26,282.51,33526.76,138.56,39685.16,283.85,40059.11,NA
250030405000024,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,6,18,3,4,398.33,39696.67,478,2020,206.13,55984.27,386.5,32298,NA
250030405000025,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,113,434,3.84,3.39,240.9,55859.7,327.98,47389.98,148.22,46957.35,337.03,43115.04,NA
250030405000026,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,8,27,3.38,4.55,423.75,31083.93,484.29,2061.9,260.3,59720.31,460.54,9587.1,NA
250030405000027,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,74,323,4.36,3.63,305.07,106667.08,451.5,91448.66,149.24,61874.38,367.82,72204.95,NA
250030405000028,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,189,691,3.66,4.73,330.47,91702.63,516.18,47005.27,201.5,73811.36,489.71,38100.47,NA
250030405000029,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,148,571,3.86,4.9,377.9,101290.92,462.22,84779.84,201.82,94389.67,403.64,107371.75,NA
250030405000030,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),5,0,295,1058,3.59,3.22,348.13,92599.69,477.67,65052.29,198.14,69199.37,383.69,62791.8,NA
250030405000031,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),5,0,342,1114,3.26,2.42,329.7,92518.66,404.15,83288.37,245.2,90843.95,430.51,79701.03,NA
250030405000032,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,103,376,3.65,4.31,320.22,92494.47,492.28,56960.18,175.34,68757.82,404.83,65823.4,NA
250030405000033,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,79,347,4.39,5.57,665.65,16784653.95,1282.59,31919015.3,311.25,5362115.41,884.6,14832194.43,NA
250030405000034,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,94,436,4.64,6.36,191.18,41596.41,280.8,35840.89,111.98,37062.52,313.72,40570.1,NA
250030405000035,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,69,279,4.04,2.84,416,166151.09,541.58,147951.63,225.05,126350.14,433.73,153245.43,NA
250030405000036,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),8,0,197,880,4.47,6.26,308.1,65118.04,379.34,53074.09,155.26,53461.6,328.21,56259.42,NA
250030405000037,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,182,560,3.08,2.31,738.7,560102.85,790.84,558392.34,496.46,456783.85,736.63,500975.49,NA
250030405000038,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,205,742,3.62,4.05,385.44,57801.3,454.11,36794.75,228.24,81586.08,403.8,73427.92,NA
250030405000039,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,208,733,3.52,3.29,486.56,131332.17,516.35,123953.38,248.58,124318.66,494.68,125657.65,NA
250030405000040,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,342,1158,3.39,2.41,501.27,256480.6,558.42,253799.21,293.75,171660.06,461.13,192320.78,NA
250030405000041,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,178,623,3.5,4.59,372.58,139695.36,436.32,135757.65,222.05,96714.01,405.9,102184.54,NA
250030405000042,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,232,822,3.54,3.58,588.5,8699443.2,679.26,9985896.17,292.96,3093559.18,506.23,5243213.85,NA
250030405000043,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,196,730,3.72,4.24,550.43,4462770.21,599.36,4832188.01,292.86,1599919.23,477.87,2524844.31,NA
250030405000044,2,Região Nordeste,25,Paraiba,2503,Agreste Paraibano,25015,Brejo Paraibano,00,Municípios não pertencentes a estrutura de RM,2500304,ALAGOA GRANDE,250030405,ALAGOA GRANDE,25003040500,ALAGOA GRANDE,2500304e3,ALAGOA GRANDE (todos os setores),1,0,251,1008,4.02,4.24,308.03,63159.28,386.58,48828.89,173.03,56894.42,382.63,45583.85,NA
